"filename", "language", "SCSS", "JavaScript", "PostCSS", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/pages/AdminPanel/Calendar/NewEvent.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/pages/AdminPanel/Calendar/subCoponents/EventRow.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 3, 37
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/pages/AdminPanel/Calendar/subCoponents/EventRow.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/pages/AdminPanel/InfoPages/InfoPages.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 4, 31
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/pages/AdminPanel/InfoPages/InfoPages.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/pages/AdminPanel/InfoPages/NewInfoPage.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 4, 36
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/pages/AdminPanel/InfoPages/NewInfoPage.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/pages/AdminPanel/Input/Input.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 3, 14
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/pages/AdminPanel/Input/Input.scss", "SCSS", 31, 0, 0, 0, 0, 0, 0, 6, 37
"/Users/Szymon_Chwila/Desktop/Projekt/karate-app/src/pages/AdminPanel/InputFile/InputFile.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 3, 16
